"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","meandom","mindom","maxdom","dfrange","age","gender","accent"
0,8.1666897360342,8.58152144044818,8.00546833012401,7.45611249783667,9.17179356849476,2961.4585,0.11656897,0.256015538503552,3.29191175351365,2.28614153423168,7.52904844531564,8.1666897360342,3.5648671819873,-2.64721058122304,-6.92362117936617,5.79066353610329,5.79065369467765,"twenties","female","canada"
1,8.34045544012366,8.59987428625257,8.36700986455957,7.55067617464475,9.29661632027108,4069.0425,0.045607697,0.208166432103855,3.35546500718288,2.49434473993003,7.69416454342909,8.34045544012366,3.81914975390064,-2.90119377323589,-7.25585770078206,4.6765787417777,4.6765679204239,"twenties","female","canada"
2,8.05657111347747,8.54684855210266,7.86709726273492,7.33342293440781,9.11095399776786,2593.3164,-0.16147499,-0.359180852535218,3.27215472341991,2.23985972005151,7.42519559733923,8.05657111347747,3.37269913683073,-2.39205863316672,-8.12825693525938,5.48473076133113,5.48472754791943,"twenties","female","canada"
3,8.38579392419606,8.70438656163196,8.13929140074785,7.41822409910128,9.41599703499969,5687.2417,0.024167618,0.578819692615615,3.40197225387998,2.74383968146244,7.7374719200613,8.38579392419606,3.70293680987948,-3.89239539344625,-17.268256413938,3.09572337793624,3.09572337793624,"nan","nan","nan"
4,8.42445279488867,8.72552540237113,8.42137053431785,7.42545639230646,9.47840645781333,6466.1704,0.11711588,0.469109417057161,3.36756050437817,2.77619313808274,7.77446711972351,8.42445279488867,3.476590620364,-3.55823228185702,-13.8915422115149,4.40014789447789,4.40014789447789,"nan","nan","nan"
5,8.31115353104372,8.6967106537428,7.84990734510342,7.22641553422764,9.38945520940366,5656.297,0.13049391,0.0740445329986441,3.36385546356115,2.71946463646485,7.66622286243044,8.31115353104372,3.49328045085091,-3.68029683042317,-14.3175474824055,3.19381585604146,3.19381585604146,"nan","nan","nan"
6,7.68106148352754,8.49792031697623,6.85425096313976,6.45948167331242,9.12879832001422,3648.2095,-0.14378873,-0.941563643430407,3.16411143067465,2.07028656445405,7.07661952431548,7.68106148352754,2.55176045733027,-2.96217705984638,-7.96741125483227,6.75847750570938,6.75847502451907,"nan","nan","nan"
7,7.73601491412917,8.48063978184389,7.12637051292576,6.59629336057508,9.1254422441382,3523.6829,-0.09632184,-1.1475838697926,3.18835463551482,2.18780918121452,7.12702373179108,7.73601491412917,2.86829649344871,-2.96657815512764,-8.13532122553756,5.02300777935979,5.02300394803144,"nan","nan","nan"
8,8.46693502425749,8.59779445076305,8.73298901416789,7.53821065883285,9.36731035953218,4891.139,-0.09517304,-0.177073106039111,3.41706665995834,2.50506369865322,7.81519079894143,8.46693502425749,3.90876931792314,-3.87489476843848,-12.5588920601548,3.27417006726807,3.27416994289215,"nan","nan","nan"
9,8.30357455869805,8.63196897203273,8.13258779874848,7.28817611434141,9.36687204356296,5301.5776,-0.09327315,-0.665983866569947,3.38942333338018,2.31766271717722,7.65900196652604,8.30357455869805,3.6829130404138,-2.74644935183034,-9.18874185824982,5.80945544490689,5.80945435847962,"nan","nan","nan"
10,8.35362257968275,8.62886117709607,8.40764494164948,7.32111752247057,9.37699648899919,5371.587,-0.12782812,-0.37692072798579,3.40175537601263,2.32639248354758,7.70673274484087,8.35362257968275,3.75929236686487,-2.82186401206364,-7.93611100695494,5.27399543623598,5.27399124185731,"nan","nan","nan"
11,8.30907789801732,8.60908801826407,8.41180623096431,7.33376123856397,9.34876798975348,5023.5356,-0.14738262,-0.463341756875902,3.38351034200562,2.30857638368002,7.66424498451128,8.30907789801732,3.7131746706798,-2.75818949844266,-8.96772985753785,4.84497456572527,4.84497271969312,"nan","nan","nan"
