"meanfreq","sd","median","Q25","Q75","skew","sp.ent","sfm","meanfun","gender"
7.62147013724981,8.3872218542675,7.39237537778276,7.16566131259821,8.9106863879866,-0.0453576,3.23199192973935,1.9856789296388,3.19418485627648,"male"
8.00732724035039,8.5191207524762,7.67847072368841,7.09841373703859,9.20853982195845,-0.105470635,3.24611889032944,2.46951425909625,3.05483319395031,"male"
7.95990514718212,8.6784262235022,7.15385905536473,6.81924619917717,9.09639881089919,-0.2791254,3.34365701266137,2.68625720353323,3.23783947286867,"male"
8.105475949387,8.59258259076275,7.63040849340111,7.22078048409754,9.27247919739573,-0.22556873,3.35750553660615,2.56295873949698,3.73943068574101,"male"
7.8844589208516,8.45495118859402,7.72312084447844,7.1763300643327,9.08357765438452,-0.09108722,3.22259984195736,2.22888830299224,2.76037911238675,"male"
7.48543823960332,8.28470996076327,7.30448400243953,7.14562971606618,8.83930155984133,-0.012415771,3.20152388402015,2.00992973661105,3.06010529662251,"male"
8.08687561319117,8.60891258660847,7.42521675668733,7.0690737231857,9.33429098010687,-0.3283524,3.34502350535451,2.62078372575218,3.63780579349986,"male"
7.82996187755904,8.41072682008091,7.76550207291508,7.07166274901116,9.05019187783413,-0.11127597,3.25854095410061,2.44934159368575,3.06184875218654,"male"
7.98918614200148,8.57678396134487,7.40697985000294,6.99358305162175,9.21394373206938,-0.052317757,3.27405017802888,2.1296407702592,2.95911185669805,"male"
7.82536573963105,8.48326932914685,7.26209325433574,6.87799129369199,9.13662117039523,-0.092085436,3.18480768627495,2.27212397989885,2.60878418729358,"male"
7.62953238390817,8.47373541376958,6.97973988410112,6.80145472162353,8.94614429175821,-0.17176417,3.21642329493518,2.05776279399034,2.66161246779632,"male"
7.91098030154152,8.54082344478087,7.43265231442916,7.1949343249373,9.10389629169641,-0.29188168,3.25641175100132,2.03332445613465,2.89054279882339,"male"
7.95324677985197,8.54830701699176,7.95513507843157,6.8610058979974,9.1113802853585,-0.11150905,3.23726321759621,2.33396600473488,2.90554237769382,"male"
8.20723529824516,8.61700980199151,7.73669902846656,7.30303872948316,9.3390284421271,-0.021860983,3.33602492188588,2.51503279733076,3.2962732152346,"male"
7.73544497830623,8.58729673654347,7.18354509300934,6.83350904342432,9.01407005396987,-0.42602906,3.2033308922882,2.92271597469377,2.51009182397682,"male"
8.11036166017705,8.52506076076728,8.13946065590011,7.24695336851693,9.18626886396043,-0.015710682,3.25681707101297,2.19419586800714,3.047480344515,"male"
7.18250210063639,8.28954126764616,6.86210692714747,6.6705811833034,8.78150805991044,-0.044441096,3.14267604355425,1.96736300905298,2.57036734592664,"male"
7.92031445864788,8.50720160131192,7.53210988942204,7.0928632002546,9.15396076419981,-0.058481455,3.29000080016181,2.45522135646352,3.18145180070218,"male"
7.57521283885427,8.33826695997593,7.47890385083032,7.03152621797567,8.8808484005205,-0.09731704,3.18039660937634,2.1250972595513,2.55120440381755,"male"
7.82585501362368,8.46204054350576,7.56498363315595,7.21274053418999,9.03184974778047,0.0066754995,3.2543177853453,2.50040169559588,3.09862729738311,"male"
8.06320652306138,8.50299649349438,8.09293148899097,7.14736334326355,9.19688738497883,-0.17994651,3.20068423656084,2.41273551223296,2.98274748488703,"male"
7.5498894942797,8.37335607679459,7.24112685638117,7.04882688511233,8.93303130011604,-0.16441226,3.19635652647082,2.40543433737144,2.98865851340136,"male"
7.49126017908756,8.35031144099358,7.10654507028895,6.91361855632758,8.91976149449988,-0.09772354,3.20435360309257,2.05183788962533,2.98111090034864,"male"
7.75252938595253,8.36647015716105,7.6811046314236,7.24431365475041,8.97368319656327,0.059682705,3.22873564533116,2.41921177637188,3.16248128861123,"male"
7.85935585575473,8.51059406499957,7.43467536918847,7.15592130067278,9.0961726083414,-0.17600821,3.24270928722702,2.03130108046934,2.79394938761502,"male"
7.91123200593263,8.48139824840593,7.63437664490979,7.31576940225569,9.08911100955193,-0.1318542,3.26437967190804,2.14211487611651,3.04917696951664,"male"
8.41878328642379,8.70455313419977,8.32159610341309,7.30003551407451,9.48111825021343,-0.1357284,3.27404281430674,2.70654215835662,3.07933160279026,"male"
8.1878941418626,8.72026429631636,7.49271907444584,6.95988955964158,9.35716398284529,-0.24880984,3.34416131202809,2.6973826639346,3.3573887440603,"male"
8.10362844965788,8.58348988481276,7.74526337562458,7.13682141710331,9.22009450536607,-0.07144732,3.23483993177939,2.20832029066408,2.66737333493921,"male"
7.73852036598353,8.48844233829588,7.29330063293504,6.99008466252616,9.01431599895411,-0.019075226,3.19953286565445,2.06951689821421,2.64459234028532,"male"
7.24891088861393,8.48596319210245,6.54367368771106,6.28936523125409,8.72416740878298,-0.31909072,3.19590585724662,2.91589325276327,2.60911080364715,"male"
7.58329179813242,8.37362827087777,7.272703346067,7.02613040598451,8.90761108252029,0.047833785,3.19510762354258,2.05413154092568,2.99679495870406,"male"
7.93084708041793,8.54588138177551,7.33680311569456,7.07320539335706,9.20692594946436,-0.048193194,3.29953677775634,2.53202962146833,3.332505679105,"male"
7.44973584795121,8.30207926619605,7.42971637263068,6.98512484777059,8.85648715749744,-0.091125384,3.13047280992614,2.11785246344867,2.1472050911934,"male"
7.86503285578797,8.5870912184596,6.99469351163012,6.82231786266627,9.24648896715758,0.30744076,3.20914331179644,2.39651561338084,2.61357298761843,"male"
7.70220184998275,8.3985047184752,7.43903978524998,7.12854117320577,9.04772901467768,-0.2376763,3.21478662889689,2.53497818835439,2.80456020628265,"male"
7.85341015337616,8.56760396549728,7.25398489997933,6.94532549620067,9.02145944547624,-0.05250317,3.27935201119821,2.54487305181793,3.35534106953688,"male"
7.69742962579064,8.50270232411138,6.91959204721471,6.78091278003222,9.00919026939458,-0.057340134,3.23582974557663,1.93665870130855,3.04409539417235,"male"
7.84666064154671,8.49961601396855,7.35870120840432,6.9918434542444,9.16033803342014,-0.20602909,3.19848819450678,2.30932265226884,3.05459449619813,"male"
7.97060152026151,8.49516641332943,7.67128617668797,7.12496493953808,9.2100650940907,-0.2725275,3.24362506531128,2.41211218419227,3.24559008036564,"male"
7.31653774523488,8.32197314967038,6.99940467537888,6.81760483481782,8.81035875700158,-0.17211612,3.13578256562464,2.13341382923592,2.27355434930504,"male"
7.33018801919032,8.33946210626674,6.9258770827208,6.69378180370641,8.82611312542847,-0.019245166,3.16052703125581,2.15342272719665,2.69325921850917,"male"
7.74905087605937,8.39879300536172,7.52115083033443,7.29678214988146,8.90371065462658,-0.23989084,3.23143817081391,2.40490825841775,2.97341304226471,"male"
7.82764851404243,8.47092759484264,7.45511934876011,6.96754350405749,9.08553281579371,-0.14805932,3.22555902342421,2.1466915456918,2.87140660648581,"male"
7.46901662652709,8.30149262226122,7.33548677422175,7.13259163669078,8.86761589476909,-0.08834402,3.16484378398478,2.02412996366502,2.88670627041978,"male"
8.01553197918866,8.46316620600316,7.85173288738034,7.40784985041124,9.17488115950071,-0.16162273,3.23572888849051,2.25475115972164,2.89211024584988,"male"
7.49227895946943,8.3624980934203,7.3127489426445,6.97162182126748,8.83600864619579,-0.111423515,3.19913450484742,2.11903977088255,2.68128272747564,"male"
7.77008511948835,8.38247565560194,7.87688397163222,6.94537735923326,8.98570858879409,-0.17636378,3.1606249523437,2.19765380038493,2.07352809164777,"male"
7.61894643347044,8.43302997275205,6.99545383647582,6.81239404787472,9.03773585942025,-0.05163298,3.21022843601387,2.49272218026842,2.82593379466544,"male"
7.71615638859172,8.52052318084204,7.01181939467655,6.62475388836113,9.03947996061572,-0.05674724,3.23368243919814,2.01285763577365,2.82569100442183,"male"
7.86108596326304,8.51151252695097,7.29422164858892,7.08729923180327,9.12843434773939,-0.09212775,3.18588343914565,2.00911876259759,2.63688235893753,"male"
7.48065445083432,8.35152405817405,7.28694115982561,7.00085100870074,8.84014857125648,-0.1775494,3.14423294671836,2.05245102066354,2.16075482260244,"male"
7.74243392234862,8.39653036814908,7.58135448681867,6.97241851109297,9.046026232052,-0.10949675,3.23376812535004,2.31717187943469,3.08661087567983,"male"
7.87892567253378,8.39357410912013,7.98120906321579,7.21551729321606,9.0559194823122,-0.06551782,3.20795709516934,2.15462289589227,3.03035531822433,"male"
8.26360942728228,8.69860249890396,7.87693777101645,7.2090414693669,9.45661379348348,-0.24886708,3.34878649592219,2.71991781549343,3.77131329306087,"male"
