"meanfreq","sd","median","Q25","Q75","skew","kurt","sp.ent","sfm","meanfun","meandom","mindom","maxdom","gender"
7.72409810942682,8.36373180064136,7.56396784726776,7.37231555753911,8.89547051858898,-0.030793626,0.18219613226196,3.23161528471102,2.08084976228776,3.03440091126474,-3.59875922794097,-12.3841496233085,3.75285760261623,"male"
7.6005163350056,8.52332071971128,6.7343036993724,6.43470043952532,8.98514589394885,-0.059174437,-0.634790332906537,3.20863783351354,2.07724928589126,2.63999010872724,-3.05762201780044,-12.33284333189,5.51907580095401,"male"
7.7582399133498,8.40271887091977,7.538441405641,7.20366463929479,9.03731602983114,-0.1976378,-0.54953956401702,3.22720942030694,2.42073968548015,3.04356712441408,-2.54117799836317,-12.6682053162008,5.4344527868482,"male"
7.73495657802164,8.40229659598031,7.4214058089408,7.02717572889936,9.09122991318341,-0.008801567,-0.427243188327264,3.14332049006767,2.07339555709663,2.53287568327109,-2.49835973813975,-9.40152339585069,4.7970512270525,"male"
8.2340208017089,8.66050889863874,7.9784210083796,7.17423713145991,9.3794464460222,-0.23493323,0.0977447592638029,3.36541948659561,2.5702119274085,3.8257036725571,-2.24062479887925,-15.1671977164387,4.3582772070159,"male"
7.62042519473094,8.47658238292798,6.84833717278293,6.76113424674138,9.05311414081916,-0.022563042,-0.813383550681795,3.23861567431004,2.42927514733657,2.90973469159139,-3.45884482093791,-14.047332659188,3.46431792436232,"male"
8.10781668374852,8.59272372838751,7.82744869515429,7.1758130737325,9.22687921814414,-0.08033858,-0.498601592600841,3.22658044032134,2.05409727804178,2.71411378039232,-2.73543044213246,-6.84896876898807,4.70235967220937,"male"
7.71052921185702,8.5312396760208,7.04142487455619,6.71762644455519,9.01687064056058,-0.105803356,-0.886312420551473,3.18588088570848,2.17386359021703,2.68181470721572,-3.12654934186344,-9.1302387121942,4.1079633055704,"male"
7.98082477709432,8.53085701475301,7.48726892777412,7.09506155804601,9.19290438477677,-0.23446245,-1.15644989548387,3.28449056683693,2.12041949455437,3.0754128079584,-2.19648002458442,-13.8324765702596,5.56414614916308,"male"
7.70473963550694,8.49409255445994,6.9814412406734,6.66777918953694,9.09332745220442,-0.05512788,-1.31415236852387,3.14766430783546,2.2016473473625,2.14829056782154,-3.84798754830606,-13.488221789168,2.42003466243638,"male"
